explorerTitle	Count - Question: 
selection	World

graphers
	question Dropdown	answer Dropdown	gender Dropdown	age_group Dropdown	yVariableIds	hasMapTab
	mh3b - How much science helps to treat anxiety or depression	Not at all	female	50-64	677469	true
	mh3b - How much science helps to treat anxiety or depression	Not at all	female	65+	677471	true
	mh3b - How much science helps to treat anxiety or depression	Not at all	female	Don't know/Refused	677473	true
	mh3b - How much science helps to treat anxiety or depression	Not at all	female	all	677476	true
	mh3b - How much science helps to treat anxiety or depression	Not at all	male	15-29	677477	true
	mh3b - How much science helps to treat anxiety or depression	Not at all	male	30-49	677479	true
	mh3b - How much science helps to treat anxiety or depression	Not at all	male	50-64	677481	true
	mh3b - How much science helps to treat anxiety or depression	Not at all	male	65+	677483	true
	mh3b - How much science helps to treat anxiety or depression	Not at all	male	Don't know/Refused	677486	true
	mh3b - How much science helps to treat anxiety or depression	Not at all	male	all	677487	true
	mh3b - How much science helps to treat anxiety or depression	Not much	all	15-29	677489	true
	mh3b - How much science helps to treat anxiety or depression	Not much	all	30-49	677491	true
	mh3b - How much science helps to treat anxiety or depression	Not much	all	50-64	677493	true
	mh3b - How much science helps to treat anxiety or depression	Not much	all	65+	677495	true
	mh3b - How much science helps to treat anxiety or depression	Not much	all	Don't know/Refused	677497	true
	mh3b - How much science helps to treat anxiety or depression	Not much	all	all	677499	true
	mh3b - How much science helps to treat anxiety or depression	Not much	female	15-29	677501	true
	mh3b - How much science helps to treat anxiety or depression	Not much	female	30-49	677503	true
	mh3b - How much science helps to treat anxiety or depression	Not much	female	50-64	677505	true
	mh3b - How much science helps to treat anxiety or depression	Not much	female	65+	677507	true
	mh3b - How much science helps to treat anxiety or depression	Not much	female	Don't know/Refused	677509	true
	mh3b - How much science helps to treat anxiety or depression	Not much	female	all	677511	true
	mh3b - How much science helps to treat anxiety or depression	Not much	male	15-29	677513	true
	mh3b - How much science helps to treat anxiety or depression	Not much	male	30-49	677514	true
	mh3b - How much science helps to treat anxiety or depression	Not much	male	50-64	677517	true
	mh3b - How much science helps to treat anxiety or depression	Not much	male	65+	677519	true
	mh3b - How much science helps to treat anxiety or depression	Not much	male	Don't know/Refused	677521	true
	mh3b - How much science helps to treat anxiety or depression	Not much	male	all	677523	true
	mh3b - How much science helps to treat anxiety or depression	Some	all	15-29	677525	true
	mh3b - How much science helps to treat anxiety or depression	Some	all	30-49	677527	true
	mh3b - How much science helps to treat anxiety or depression	Some	all	50-64	677529	true
	mh3b - How much science helps to treat anxiety or depression	Some	all	65+	677531	true
	mh3b - How much science helps to treat anxiety or depression	Some	all	Don't know/Refused	677533	true
	mh3b - How much science helps to treat anxiety or depression	Some	all	all	677536	true
	mh3b - How much science helps to treat anxiety or depression	Some	female	15-29	677537	true
	mh3b - How much science helps to treat anxiety or depression	Some	female	30-49	677539	true
	mh3b - How much science helps to treat anxiety or depression	Some	female	50-64	677542	true
	mh3b - How much science helps to treat anxiety or depression	Some	female	65+	677543	true
	mh3b - How much science helps to treat anxiety or depression	Some	female	Don't know/Refused	677545	true
	mh3b - How much science helps to treat anxiety or depression	Some	female	all	677547	true
	mh3b - How much science helps to treat anxiety or depression	Some	male	15-29	677549	true
	mh3b - How much science helps to treat anxiety or depression	Some	male	30-49	677550	true
	mh3b - How much science helps to treat anxiety or depression	Some	male	50-64	677553	true
	mh3b - How much science helps to treat anxiety or depression	Some	male	65+	677555	true
	mh3b - How much science helps to treat anxiety or depression	Some	male	Don't know/Refused	677558	true
	mh3b - How much science helps to treat anxiety or depression	Some	male	all	677559	true
	mh3c - How much science helps to treat infectious diseases	A lot	all	15-29	677561	true
	mh3c - How much science helps to treat infectious diseases	A lot	all	30-49	677562	true
	mh3c - How much science helps to treat infectious diseases	A lot	all	50-64	677564	true
	mh3c - How much science helps to treat infectious diseases	A lot	all	65+	677567	true
	mh3c - How much science helps to treat infectious diseases	A lot	all	Don't know/Refused	677569	true
	mh3c - How much science helps to treat infectious diseases	A lot	all	all	677570	true
	mh3c - How much science helps to treat infectious diseases	A lot	female	15-29	677573	true
	mh3c - How much science helps to treat infectious diseases	A lot	female	30-49	677575	true
	mh3c - How much science helps to treat infectious diseases	A lot	female	50-64	677577	true
	mh3c - How much science helps to treat infectious diseases	A lot	female	65+	677579	true
	mh3c - How much science helps to treat infectious diseases	A lot	female	Don't know/Refused	677581	true
	mh3c - How much science helps to treat infectious diseases	A lot	female	all	677583	true
	mh3c - How much science helps to treat infectious diseases	A lot	male	15-29	677585	true
	mh3c - How much science helps to treat infectious diseases	A lot	male	30-49	677587	true
	mh3c - How much science helps to treat infectious diseases	A lot	male	50-64	677589	true
	mh3c - How much science helps to treat infectious diseases	A lot	male	65+	677591	true
	mh3c - How much science helps to treat infectious diseases	A lot	male	Don't know/Refused	677594	true
	mh3c - How much science helps to treat infectious diseases	A lot	male	all	677595	true
	mh3c - How much science helps to treat infectious diseases	Don't know/Refused	all	15-29	677598	true
	mh3c - How much science helps to treat infectious diseases	Don't know/Refused	all	30-49	677599	true
	mh3c - How much science helps to treat infectious diseases	Don't know/Refused	all	50-64	677601	true
	mh3c - How much science helps to treat infectious diseases	Don't know/Refused	all	65+	677603	true
	mh3c - How much science helps to treat infectious diseases	Don't know/Refused	all	Don't know/Refused	677606	true
	mh3c - How much science helps to treat infectious diseases	Don't know/Refused	all	all	677607	true
	mh3c - How much science helps to treat infectious diseases	Don't know/Refused	female	15-29	677609	true
	mh3c - How much science helps to treat infectious diseases	Don't know/Refused	female	30-49	677611	true
	mh3c - How much science helps to treat infectious diseases	Don't know/Refused	female	50-64	677613	true
	mh3c - How much science helps to treat infectious diseases	Don't know/Refused	female	65+	677615	true
	mh3c - How much science helps to treat infectious diseases	Don't know/Refused	female	Don't know/Refused	677617	true
	mh3c - How much science helps to treat infectious diseases	Don't know/Refused	female	all	677619	true
	mh3c - How much science helps to treat infectious diseases	Don't know/Refused	male	15-29	677621	true
	mh3c - How much science helps to treat infectious diseases	Don't know/Refused	male	30-49	677624	true
	mh3c - How much science helps to treat infectious diseases	Don't know/Refused	male	50-64	677625	true
	mh3c - How much science helps to treat infectious diseases	Don't know/Refused	male	65+	677627	true
	mh3c - How much science helps to treat infectious diseases	Don't know/Refused	male	Don't know/Refused	677629	true
	mh3c - How much science helps to treat infectious diseases	Don't know/Refused	male	all	677631	true
	mh3c - How much science helps to treat infectious diseases	Not at all	all	15-29	677633	true
	mh3c - How much science helps to treat infectious diseases	Not at all	all	30-49	677635	true
	mh3c - How much science helps to treat infectious diseases	Not at all	all	50-64	677636	true
	mh3c - How much science helps to treat infectious diseases	Not at all	all	65+	677639	true
	mh3c - How much science helps to treat infectious diseases	Not at all	all	Don't know/Refused	677641	true
	mh3c - How much science helps to treat infectious diseases	Not at all	all	all	677643	true
	mh3c - How much science helps to treat infectious diseases	Not at all	female	15-29	677644	true
	mh3c - How much science helps to treat infectious diseases	Not at all	female	30-49	677647	true
	mh3c - How much science helps to treat infectious diseases	Not at all	female	50-64	677649	true
